ID,Pin Name,Raw Link (in DB),Normalized URL,HTTP Status,Link Status,Has Image
864,ביחד למען ים המלח,https://www.green.org.il/,https://www.green.org.il/,200,Working,Yes
854,בין השמשות,,,-,No link,No
571,בלנדר אראביכ,www.blenarabic.com,https://www.blenarabic.com,-,Unreachable (domain may not exist) | Note: MISSING PROTOCOL (fixed),No
869,במה משותפת,www.elminajaffa.com,https://www.elminajaffa.com,200,Working | Note: MISSING PROTOCOL (fixed),Yes
672,בניא – לומדים לתקשר,www.madrasafree.com,https://www.madrasafree.com,200,Working | Note: MISSING PROTOCOL (fixed),Yes
706,בניית שדה השיח הבין-דתי,,,-,No link,Yes
673,ג'ודו עם שכנים,,,-,No link,Yes
698,גשרים של הכרות,https://www.lodfoundation.org/,https://www.lodfoundation.org/,200,Working,Yes
860,דג עוטף,https://www.100dagim.org/,https://www.100dagim.org/,200,Working,Yes
625,דוגרי,https://www.facebook.com/DUGRIproject,https://www.facebook.com/DUGRIproject,200,Working,Yes
646,דיאלוג בין תרבויות מוזיקליות,,,-,No link,Yes
861,הוילג' - בית הנשים,https://thevillagehaifa.com/,https://thevillagehaifa.com/,200,Working,Yes
833,החממה - אלדפיאה,https://www.talpaz.org.il/page.php?type=shluha&id=3625&bc=AC11,https://www.talpaz.org.il/page.php?type=shluha&id=3625&bc=AC11,200,Working,No
705,הכשרת מנחים להפחתת גזענות,,,-,No link,Yes
679,הליכות דיאלוגיות BEDO,https://bedo.org.il/,https://bedo.org.il/,200,Working,Yes
601,הליכות דיאלוגיות עירוניות,https://bedo.org.il/,https://bedo.org.il/,200,Working,Yes
573,המרכז לצדק חברתי חריש,https://merkazim.org/about/,https://merkazim.org/about/,200,Working,Yes
867,המשך - אקלים של אחדות,,,-,No link,Yes
658,העצמה צעירי לוד,https://www.facebook.com/Mowatinon?mibextid=ZbWKwL,https://www.facebook.com/Mowatinon?mibextid=ZbWKwL,200,Working,Yes
838,הפאב החברתי העצלן,https://www.facebook.com/profile.php?id=100083828583764&mibextid=ZbWKwL,https://www.facebook.com/profile.php?id=100083828583764&mibextid=ZbWKwL,200,Working,Yes
855,הקמת בית-ספר רב-תרבותי,,,-,No link,No
575,הרחבת מאמנט,www.mamanet.org.il,https://www.mamanet.org.il,200,Working | Note: MISSING PROTOCOL (fixed),Yes
659,התכנית לסטודנטים מצטיינים,https://www.facebook.com/search/top?q=%D7%9E%D7%A8%D7%9B%D7%96%20%D7%99%D7%A1%D7%95%D7%93%D7%95%D7%AA%20%D8%A3%D9%8F%D8%B3%D8%B3,https://www.facebook.com/search/top?q=%D7%9E%D7%A8%D7%9B%D7%96%20%D7%99%D7%A1%D7%95%D7%93%D7%95%D7%AA%20%D8%A3%D9%8F%D8%B3%D8%B3,404,Broken (page not found),Yes
873,זורנא,https://www.idantoledano.com/zurna,https://www.idantoledano.com/zurna,200,Working,Yes
685,חִבּוּרֵי יַלְדוּת,https://www.matnasim.org.il/program/bakehila,https://www.matnasim.org.il/program/bakehila,200,Working,Yes
871,חברה משותפת - המודל המקומי,https://shittah.org/,https://shittah.org/,200,Working,Yes
630,חברותא בסלון,,,-,No link,No
865,חברתי - ארץ עיר שכונה, www.artsmaalot.com,https://www.artsmaalot.com,200,Working | Note: MISSING PROTOCOL (fixed),Yes
850,חדיקתנא,,,-,No link,Yes
602,חוקרים יחד,www.greenhouse.org.il,https://www.greenhouse.org.il,200,Working | Note: MISSING PROTOCOL (fixed),Yes
591,חזקים ביחד,https://www.facebook.com/haredimlaketzev?mibextid=LQQJ4d,https://www.facebook.com/haredimlaketzev?mibextid=LQQJ4d,200,Working,Yes
839,חיים משותפים מצילות מזון,,,-,No link,Yes
870,חינוך לשותפות - רשויות שכנות,https://ajeec-nisped.org.il/?page_id=16336,https://ajeec-nisped.org.il/?page_id=16336,200,Working,No
876,חמל התרבות בנגב,,,-,No link,No
612,חממה לחיים משותפים,https://qr.page/g/488rmOzR8Kb,https://qr.page/g/488rmOzR8Kb,200,Working,Yes
680,חממה לחיים משותפים בנוער,https://qr.page/g/488rmOzR8Kb,https://qr.page/g/488rmOzR8Kb,200,Working,Yes
681,חממת יזמות נשים בדואיות,https://www.studioofherown.com/,https://www.studioofherown.com/,200,Working,Yes
695,יוצרים עתיד,https://www.facebook.com/profile.php?id=61571704450666,https://www.facebook.com/profile.php?id=61571704450666,200,Working,Yes
626,יפו בוחרת בחיים,https://www.facebook.com/jaffa.chooselife/,https://www.facebook.com/jaffa.chooselife/,200,Working,Yes
596,ירושלמית מדוברת,https://www.facebook.com/YerushalmitMeduberet,https://www.facebook.com/YerushalmitMeduberet,200,Working,Yes
694,כפר סטודנטים יהודי-ערבי,https://hechalutz.com/programs/studenttogether/,https://hechalutz.com/programs/studenttogether/,200,Working,Yes
660,להתחיל ב800,https://www.start800.org.il/,https://www.start800.org.il/,200,Working,No
688,לחיות ביחד,://aharai.org.il /,://aharai.org.il /,-,Broken (bad URL format),Yes
661,לשתף בכאב ליצור תקווה,https://www.facebook.com/share/JbdTTPRQ6WxQxWSY/?mibextid=xfxF2i,https://www.facebook.com/share/JbdTTPRQ6WxQxWSY/?mibextid=xfxF2i,200,Working,Yes
662,מובילות חיבור,http://www.movilot.org.il/,http://www.movilot.org.il/,200,Working,Yes
872,מועדון האופניים המסלול יפו,https://www.hamaslul.com/,https://www.hamaslul.com/,200,Working,Yes
857,מזרעה - חוות בארי,https://www.2link.co.il/flipbook/lod-rtl,https://www.2link.co.il/flipbook/lod-rtl,200,Working,No
846,מחנכי עיר - אשכול,https://www.tfi.org.il/,https://www.tfi.org.il/,200,Working,No
639,מכוונים גאווה,https://hechalutz.com/programs/sabaya/,https://hechalutz.com/programs/sabaya/,200,Working,Yes
592,מכינות כיוונים לחיים משותפים,www.kvn.org.il,https://www.kvn.org.il,200,Working | Note: MISSING PROTOCOL (fixed),Yes
615,מכתבתי אלאולה,https://al-baqour.org.il/,https://al-baqour.org.il/,200,Working,Yes
589,מנהיגות צעירה,https://www.facebook.com/anewdawnegev?mibextid=ZbWKwL,https://www.facebook.com/anewdawnegev?mibextid=ZbWKwL,200,Working,Yes
603,מסע בין אדם למקום,www.tzofit.com,https://www.tzofit.com,404,Broken (page not found) | Note: MISSING PROTOCOL (fixed),Yes
692,מסע בית הלל,https://beithillel.org.il/,https://beithillel.org.il/,520,Server error,Yes
577,מסע חברתי,https://m.facebook.com/masahevratii,https://m.facebook.com/masahevratii,200,Working,Yes
682,מעגל סבאיא,https://hechalutz.com/programs/sabaya/,https://hechalutz.com/programs/sabaya/,200,Working,Yes
641,מעגלי חיכאיאת,https://hikayat.co.il/,https://hikayat.co.il/,200,Working,Yes
704,מעגלי נשים סבאיא,https://hechalutz.com/programs/sabaya/,https://hechalutz.com/programs/sabaya/,200,Working,No
858,"מעגלים מגוונים ת""א",www.facebook.com/hapardestlv,https://www.facebook.com/hapardestlv,200,Working | Note: MISSING PROTOCOL (fixed),No
578,מעיין במדבר,https://www.tzioneiderech.com/maayanbamidbar,https://www.tzioneiderech.com/maayanbamidbar,200,Working,Yes
840,מפרשים - כולנו בסירה אחת,www.mifrasim.org.il,https://www.mifrasim.org.il,200,Working | Note: MISSING PROTOCOL (fixed),Yes
675,מקהלת ראנה,https://ranachoir.com/en/home-page-english/,https://ranachoir.com/en/home-page-english/,200,Working,Yes
862,מרחב רב תרבותי לוד,,,-,No link,No
852,מרכז ניסאן,,,-,No link,No
847,מרכז אתקפאת - נגב,https://www.facebook.com/hajarassociation,https://www.facebook.com/hajarassociation,200,Working,Yes
837,מתגלה - חיבורים לאור ירח,www.friendsbynature.org/he_il,https://www.friendsbynature.org/he_il,200,Working | Note: MISSING PROTOCOL (fixed),Yes
841,נהר החיים - הולון,https://www.holon.muni.il/Lists/List2/CustomDispForm.aspx?ID=2228,https://www.holon.muni.il/Lists/List2/CustomDispForm.aspx?ID=2228,200,Working,Yes
690,נוער מוביל תרבות,https://bit.ly/4gFUONC,https://bit.ly/4gFUONC,302,HTTP Error,Yes
643,נעות,https://www.yasmeengodder.com/he/%D7%A0%D7%A2%D7%95%D7%AA-%D9%85%D8%B9-%D8%A8%D8%B9%D8%B6/,https://www.yasmeengodder.com/he/%D7%A0%D7%A2%D7%95%D7%AA-%D9%85%D8%B9-%D8%A8%D8%B9%D8%B6/,200,Working,Yes
633,נפגשים בשבילי אברהם,,,-,No link,Yes
707,נשות הדבש,,,-,No link,No
664,נשות ירושלים,https://www.facebook.com/0202updates   https://0202updates.org/,https://www.facebook.com/0202updates,200,Working | Note: MULTIPLE URLS (using first),Yes
579,סטודיו משלך,https://studioofherown.com/,https://studioofherown.com/,200,Working,Yes
834,סיור נרטיבים ביפו,www.Beitsystemali.com,https://www.Beitsystemali.com,-,Unreachable (domain may not exist) | Note: MISSING PROTOCOL (fixed),Yes
650,סיורים מספרים,,,-,No link,Yes
701,ספריה דו לשונית לוד,,,-,No link,Yes
702,עוטף דג,,,-,No link,Yes
645,על המקאם הזה,https://www.poetryplace.org/%D7%A2%D7%9C-%D7%94%D7%9E%D7%A7%D7%90%D7%9D-%D7%94%D7%96%D7%94/,https://www.poetryplace.org/%D7%A2%D7%9C-%D7%94%D7%9E%D7%A7%D7%90%D7%9D-%D7%94%D7%96%D7%94/,302,HTTP Error,Yes
665,ערבות,https://www.facebook.com/MaagaleiTzedek?mibextid=LQQJ4d,https://www.facebook.com/MaagaleiTzedek?mibextid=LQQJ4d,200,Working,Yes
606,ערוגות של תרבויות,www.Earthspromise.org.il,https://www.Earthspromise.org.il,200,Working | Note: MISSING PROTOCOL (fixed),Yes
676,פיתוח תוכן הכשרות מורים,https://matzmichim.org.il,https://matzmichim.org.il,200,Working,Yes
624,פשוט להיפגש בדיגיטאל,https://mifgashimh.co.il/,https://mifgashimh.co.il/,200,Working,Yes
666,קבוצות לימוד בין דתיות,https://www.facebook.com/profile.php?id=61557545967137&locale=he_IL,https://www.facebook.com/profile.php?id=61557545967137&locale=he_IL,200,Working,Yes
848,קולאז': השמעת קול,https://photoisrael.org/,https://photoisrael.org/,200,Working,Yes
689,רוקמות שותפות,,,-,No link,No
842,רשם אקטיביזם העיתונאי,https://www.itonut.org.il/,https://www.itonut.org.il/,200,Working,Yes
593,שוות ביחד,https://www.shavot.org/copy-of-%D7%A9%D7%95%D7%95%D7%AA-%D7%91%D7%9E%D7%93%D7%A2-%D7%95%D7%91%D7%98%D7%9B%D7%A0%D7%95%D7%9C%D7%95%D7%92%D7%99%D7%94,https://www.shavot.org/copy-of-%D7%A9%D7%95%D7%95%D7%AA-%D7%91%D7%9E%D7%93%D7%A2-%D7%95%D7%91%D7%98%D7%9B%D7%A0%D7%95%D7%9C%D7%95%D7%92%D7%99%D7%94,200,Working,Yes
868,שוף אל נוף,https://www.mabat.org/%D7%A9%D7%95%D7%A3-%D7%90%D7%9C-%D7%A0%D7%95%D7%A3/,https://www.mabat.org/%D7%A9%D7%95%D7%A3-%D7%90%D7%9C-%D7%A0%D7%95%D7%A3/,200,Working,No
667,שותפות בתנועה,https://ajeec-nisped.org.il/?page_id=22053&lang=en,https://ajeec-nisped.org.il/?page_id=22053&lang=en,200,Working,Yes
866,שותפות חוף הכרמל,https://www.facebook.com/shirakarmel/?paipv=0&eav=AfbE6zcBnTCCKVjFPo08bBCu39a-GiF-Ozxdb9_mRv7A44uWa3yBZo8cLi7BReqf5mM&_rdr,https://www.facebook.com/shirakarmel/?paipv=0&eav=AfbE6zcBnTCCKVjFPo08bBCu39a-GiF-Ozxdb9_mRv7A44uWa3yBZo8cLi7BReqf5mM&_rdr,200,Working,Yes
683,שיח נשי יהודי מוסלמי,,,-,No link,No
874,שיפור מערכות יחסים - לפלס דרכים,,,-,No link,Yes
684,שכונת הפסיפס,,,-,No link,Yes
668,שכנות טובה,https://keshet.org.il/projects/good-neighborliness/   https://keshet.org.il/en/projects/good-neighbor-ship-project/,https://keshet.org.il/projects/good-neighborliness/,200,Working | Note: MULTIPLE URLS (using first),No
843,תג מאיר בקמפוס,www.tag-meir.org.il,https://www.tag-meir.org.il,200,Working | Note: MISSING PROTOCOL (fixed),Yes
863,תוואסול - מתחברים,https://www.desertstars.org.il/homepage-english,https://www.desertstars.org.il/homepage-english,200,Working,Yes
835,תוכנית הרשת,https://www.facebook.com/people/%D7%94%D7%A8%D7%A9%D7%AA-%D7%A2%D7%99%D7%A8%D7%A2%D7%9E%D7%A7/100064470441457/,https://www.facebook.com/people/%D7%94%D7%A8%D7%A9%D7%AA-%D7%A2%D7%99%D7%A8%D7%A2%D7%9E%D7%A7/100064470441457/,200,Working,Yes
628,תוכנית התיכונים למנהיגות,,,-,No link,Yes
595,תוכנית ניר,www.near.org.il,https://www.near.org.il,200,Working | Note: MISSING PROTOCOL (fixed),Yes
836,תכנית נמל מצמיחים,https://international979.wixsite.com/website?lang=he,https://international979.wixsite.com/website?lang=he,200,Working,Yes
